pixel_index,color_value
1473,-15593201
1474,-15396076
1475,-15462385
1476,-15790321
1477,-15987700
1478,-9343409
1479,-15790834
1480,-15790834
1481,-15987957
1482,-15461356
1483,-15856112
1484,-15593455
1485,-15527151
1486,-4149346
1487,-15659764
1488,-5204341
1489,-7108996
1490,-15395561
1491,-16119286
1492,-16119286
1493,-16119286
1494,-16119286
1495,-15987700
1496,-15856114
1497,-16053493
1498,-15987700
1499,-16119286
1500,-9809105
1501,-9479624
1502,-9676747
1503,-11520476
1504,-9480138
1505,-10401489
1506,-10267854
1507,-10202829
1508,-11979994
1509,-13753320
1510,-15133422
1511,-13620961
1512,-12700117
1513,-10532315
1514,-5136493
1515,-5004909
1516,-5201785
1517,-4017759
1518,-5400705
1519,-4084064
1520,-5996684
1521,-5070702
1522,-4280925
1523,-6516605
1524,-3950681
1525,-4213600
1526,-3752281
1527,-4147029
1528,-4476505
1529,-4280157
1530,-3884884
1531,-4015954
1532,-4213081
1533,-4936545
1534,-5266291
1535,-6649241
1536,-13556452
1537,-15461615
1538,-15790833
1539,-16054006
1540,-15988213
1541,-15856627
1542,-15593455
1543,-15461869
1544,-15725041
1545,-15395822
1546,-15461615
1547,-15527662
1548,-15659248
1549,-15527662
1550,-15395814
1551,-15461865
1552,-15856114
1553,-15790321
1554,-15131614
1555,-16053491
1556,-16053493
1557,-15921907
1558,-15922420
1559,-15658735
1560,-15592945
1561,-3756127
1562,-5993606
1563,-5137522
1564,-6583951
1565,-15133682
1566,-16119286
1567,-15987700
1568,-16053493
1569,-15987700
1570,-16053493
1571,-15856114
1572,-16053493
1573,-16053493
1574,-16119286
1575,-8821705
1576,-9414601
1577,-9151181
1578,-10202832
1579,-12310499
1580,-8295111
1581,-10993108
1582,-10268622
1583,-12439516
1584,-13226722
1585,-15330801
1586,-14805231
1587,-12963542
1588,-9874127
1589,-5136495
1590,-6452102
1591,-8821679
1592,-9152184
1593,-7837089
1594,-7969973
1595,-6718607
1596,-6188152
1597,-5003878
1598,-7700878
1599,-5595506
1600,-4082012
1601,-7507340
1602,-5465191
1603,-5267575
1604,-4608868
1605,-4082524
1606,-4279128
1607,-4542300
1608,-4410199
1609,-4278100
1610,-9409706
1611,-15592940
1612,-15856116
1613,-16053752
1614,-15988213
1615,-16054006
1616,-15922420
1617,-15659248
1618,-15659248
1619,-15856627
1620,-15659248
1621,-15659248
1622,-15659248
1623,-15725041
1624,-15725041
1625,-15461354
1626,-2765122
1627,-15659766
1628,-15724528
1629,-13818085
1630,-16185338
1631,-11055314
1632,-15856627
1633,-15856627
1634,-15659248
1635,-15724528
1636,-4349289
1637,-3031371
1638,-4084583
1639,-10333380
1640,-11252671
1641,-16119286
1642,-15988213
1643,-15921907
1644,-16053493
1645,-16119286
1646,-15987700
1647,-16053493
1648,-15987700
1649,-16250872
1650,-10270418
1651,-9021125
1652,-9676497
1653,-10335446
1654,-9282505
1655,-10468306
1656,-10401487
1657,-9874894
1658,-12372700
1659,-14476526
1660,-15725559
1661,-15396339
1662,-15133422
1663,-7111320
1664,-5662837
1665,-7176080
1666,-6261658
1667,-5992831
1668,-6518405
1669,-7241616
1670,-8360090
1671,-9543082
1672,-8883866
1673,-10003642
1674,-5135212
1675,-4213858
1676,-4148318
1677,-4542816
1678,-4279644
1679,-4543329
1680,-4740706
1681,-4674400
1682,-4673886
1683,-4607579
1684,-15395563
1685,-15395822
1686,-15725041
1687,-15724787
1688,-15987959
1689,-16119799
1690,-15988213
1691,-16119286
1692,-15724787
1693,-15659248
1694,-15922420
1695,-15856627
1696,-15725041
1697,-15659248
1698,-15856373
1699,-15592942
1700,-15856112
1701,-16251122
1702,-15856627
1703,-15987441
1704,-10658997
1705,-16119286
1706,-16054006
1707,-15593455
1708,-15527408
1709,-15527149
1710,-15790321
1711,-14673128
1712,-3359821
1713,-4216420
1714,-6715787
1715,-13031651
1716,-16185079
1717,-15988213
1718,-15987959
1719,-16053493
1720,-16053493
1721,-16119286
1722,-16053493
1723,-16119286
1724,-16185079
1725,-9281987
1726,-9612244
1727,-9348300
1728,-10532823
1729,-9478855
1730,-10863317
1731,-11452888
1732,-11982047
1733,-11782615
1734,-14212844
1735,-16053752
1736,-15396594
1737,-15330546
1738,-10728138
1739,-8095119
1740,-5004656
1741,-13224636
1742,-5663099
1743,-5926269
1744,-6716555
1745,-5991026
1746,-7833496
1747,-11847126
1748,-8623012
1749,-6647939
1750,-4739176
1751,-5528943
1752,-4805220
1753,-4411230
1754,-4741476
1755,-4741222
1756,-4674400
1757,-5791601
1758,-15395822
1759,-15593455
1760,-15593455
1761,-15790580
1762,-15790834
1763,-15790580
1764,-15725041
1765,-15988213
1766,-15987700
1767,-16119799
1768,-15856627
1769,-15856627
1770,-15790834
1771,-15725041
1772,-15856627
1773,-15922420
1774,-15658735
1775,-15593452
1776,-15987698
1777,-15987700
1778,-13289929
1779,-15724530
1780,-15790834
1781,-15856627
1782,-15725041
1783,-15527410
1784,-15658994
1785,-15658994
1786,-3820382
1787,-3425622
1788,-5203316
1789,-14937073
1790,-15921907
